Filme,Bilheteria (M US$)
Top Gun: Maverick,718.3
Pantera Negra: Wakanda para Sempre,436.5
Doutor Estranho no Multiverso da Loucura,411.3
Avatar: O Caminho da Água,401.0
Jurassic World: Domínio,376.8
Minions 2: A Origem de Gru,369.6
Batman,369.3
Thor: Amor e Trovão,343.2
Homem Aranha: Sem Volta para Casa,231.8
Sonic 2: O Filme,190.8
