date,tsurf,t1000,active_year,day_of_the_year
2009-12-31,15.72499942779541,13.306132316589355,2010,3
2010-01-07,15.530415534973145,13.315656661987305,2010,10
2010-01-14,15.30737590789795,13.300347328186035,2010,17
2010-01-21,14.954195976257324,13.30064582824707,2010,24
2010-01-28,14.70881462097168,13.300273895263672,2010,31
2010-02-04,14.50081729888916,13.284679412841797,2010,38
2010-02-11,14.51582145690918,13.286169052124023,2010,45
2010-02-18,14.595928192138672,13.293560028076172,2010,52
2010-02-25,14.557778358459473,13.297382354736328,2010,59
2010-03-04,14.712786674499512,13.313350677490234,2010,66
2010-03-11,14.969250679016113,13.320165634155273,2010,73
2010-03-18,15.391448974609375,13.316145896911621,2010,80
2010-03-25,15.77733039855957,13.329872131347656,2010,87
2010-04-01,16.47618865966797,13.327961921691895,2010,94
2010-04-08,16.784011840820312,13.312078475952148,2010,101
2010-04-15,17.211517333984375,13.299765586853027,2010,108
2010-04-22,17.866989135742188,13.294022560119629,2010,115
2010-04-29,18.467748641967773,13.289861679077148,2010,122
2010-05-06,19.1048526763916,13.297369003295898,2010,129
2010-05-13,19.759849548339844,13.313926696777344,2010,136
2010-05-20,20.610462188720703,13.31080150604248,2010,143
2010-05-27,21.84746551513672,13.408136367797852,2010,150
2010-06-03,22.66819190979004,13.481786727905273,2010,157
2010-06-10,23.311182022094727,13.496749877929688,2010,164
2010-06-17,23.61992073059082,13.544631004333496,2010,171
2010-06-24,23.759601593017578,13.587481498718262,2010,178
2010-07-01,24.185222625732422,13.542780876159668,2010,185
2010-07-08,24.408647537231445,13.554224967956543,2010,192
2010-07-15,24.757659912109375,13.478598594665527,2010,199
2010-07-22,24.396076202392578,13.386602401733398,2010,206
2010-07-29,24.188133239746094,13.404434204101562,2010,213
2010-08-05,24.006784439086914,13.361072540283203,2010,220
2010-08-12,23.817943572998047,13.322334289550781,2010,227
2010-08-19,23.60104751586914,13.337486267089844,2010,234
2010-08-26,23.25238037109375,13.315465927124023,2010,241
2010-09-02,22.941892623901367,13.292972564697266,2010,248
2010-09-09,22.3065128326416,13.291740417480469,2010,255
2010-09-16,21.792633056640625,13.282033920288086,2010,262
2010-09-23,21.174896240234375,13.273746490478516,2010,269
2010-09-30,20.394466400146484,13.343378067016602,2010,276
2010-10-07,19.787811279296875,13.3739595413208,2010,283
2010-10-14,18.8612060546875,13.483123779296875,2010,290
2010-10-21,18.367969512939453,13.544395446777344,2010,297
2010-10-28,17.88574981689453,13.579445838928223,2010,304
2010-11-04,17.421157836914062,13.59878921508789,2010,311
2010-11-11,16.660306930541992,13.64538288116455,2010,318
2010-11-18,15.925361633300781,13.596324920654297,2010,325
2010-11-25,14.74314022064209,13.59289264678955,2010,332
2010-12-02,14.056785583496094,13.496633529663086,2010,339
2010-12-09,13.664528846740723,13.484468460083008,2010,346
